出発地,バス停名,出発時,出発分,運賃
&#9733,一関駅前 10番のりば,7,50,
,大町通り,7,52,170
,大町角,7,53,170
,一関一校前,7,54,170
,磐井橋,7,55,170
,竹山,7,57,170
,配志和神社前,7,58,250
,山目一丁目,7,59,250
,中里市民センター前,8,0,250
,山目駅前,8,1,320
,沢田入口,8,1,320
,中里新町,8,2,320
,大佐,8,3,340
,川屋敷,8,4,340
,佐野,8,5,350
,祇園,8,6,350
,毛越寺,8,8,350
,平泉駅前,8,10,350
,鈴沢,8,12,370
,花館,8,13,390
,中尊寺,8,14,390
,衣川橋,8,16,410
,瀬原,8,18,440
,徳沢,8,20,450
,白鳥,8,22,490
,塔ヶ先,8,23,510
,丁切,8,24,510
,三日町,8,26,530
,七日町,8,27,530
,前沢新町,8,27,540
,二十人町,8,28,540
,母体口,8,29,550
,前沢保育所前,8,30,560
,イオン前沢,8,33,570
