"出発地","バス停名","出発時","出発分","運賃"
"&#9733","一関駅前 10番のりば","16","25",""
"","大町通り",16,27,"170"
"","大町角",16,28,"170"
"","一関一校前",16,29,"170"
"","磐井橋",16,30,"170"
"","竹山",16,32,"170"
"","配志和神社前",16,33,"250"
"","山目一丁目",16,34,"250"
"","中里市民センター前",16,35,"250"
"","山目駅前",16,36,"320"
"","沢田入口",16,36,"320"
"","中里新町",16,37,"320"
"","大佐",16,38,"340"
"","川屋敷",16,39,"340"
"","佐野",16,40,"350"
"","祇園",16,41,"350"
"","毛越寺",16,43,"350"
"","平泉駅前",16,45,"350"
"","鈴沢",16,47,"370"
"","花館",16,48,"390"
"","中尊寺",16,49,"390"
"","衣川橋",16,51,"410"
"","瀬原",16,53,"440"
"","徳沢",16,55,"450"
"","白鳥",16,57,"490"
"","塔ヶ先",16,58,"510"
"","丁切",16,59,"510"
"","三日町",17,1,"530"
"","七日町",17,2,"530"
"","前沢新町",17,2,"540"
"","二十人町",17,3,"540"
"","母体口",17,4,"550"
"","前沢保育所前",17,5,"560"
"","イオン前沢",17,8,"570"
