"出発地","バス停名","出発時","出発分","運賃"
"&#9733","一関駅前 10番のりば","15","25",""
"","大町通り",15,27,"170"
"","大町角",15,28,"170"
"","一関一校前",15,29,"170"
"","磐井橋",15,30,"170"
"","竹山",15,32,"170"
"","配志和神社前",15,33,"250"
"","山目一丁目",15,34,"250"
"","中里市民センター前",15,35,"250"
"","山目駅前",15,36,"320"
"","沢田入口",15,36,"320"
"","中里新町",15,37,"320"
"","大佐",15,38,"340"
"","川屋敷",15,39,"340"
"","佐野",15,40,"350"
"","祇園",15,41,"350"
"","毛越寺",15,43,"350"
"","平泉駅前",15,45,"350"
"","鈴沢",15,47,"370"
"","花館",15,48,"390"
"","中尊寺",15,49,"390"
"","衣川橋",15,51,"410"
"","瀬原",15,53,"440"
