出発地,バス停名,出発時,出発分,運賃
&#9733,イオン前沢,8,45,
,前沢保育所前,8,47,170
,母体口,8,48,170
,二十人町,8,49,170
,前沢新町,8,50,170
,七日町,8,50,170
,三日町,8,51,170
,丁切,8,53,280
,塔ヶ崎,8,54,330
,白鳥,8,55,330
,徳沢,8,57,350
,瀬原,8,59,350
,衣川橋,9,1,350
,中尊寺,9,3,370
,花舘,9,4,400
,鈴沢,9,5,400
,平泉駅前,9,7,410
,毛越寺,9,9,410
,祇園,9,11,430
,佐野,9,12,450
,川屋敷,9,13,450
,大佐,9,14,480
,中里新町,9,15,480
,沢田入口,9,16,480
,山目駅前,9,16,510
,中里市民センター前,9,17,510
,山目一丁目,9,18,510
,配志和神社前,9,19,530
,竹山,9,20,530
,一関一高前,9,23,530
,大町角,9,24,570
,大町通り,9,25,570
,一関駅前,9,27,570
