出発地,バス停名,出発時,出発分,運賃
&#9733,母体口,12,33,
,二十人町,12,34,170
,前沢新町,12,35,170
,七日町,12,35,170
,三日町,12,36,170
,丁切,12,38,220
,塔ヶ崎,12,39,270
,白鳥,12,40,270
,徳沢,12,42,340
,瀬原,12,44,350
,衣川橋,12,46,350
,中尊寺,12,48,350
,花舘,12,49,370
,鈴沢,12,50,370
,平泉駅前,12,52,380
,毛越寺,12,54,380
,祇園,12,56,410
,佐野,12,57,440
,川屋敷,12,58,440
,大佐,12,59,460
,中里新町,13,0,460
,沢田入口,13,1,460
,山目駅前,13,1,480
,中里市民センター前,13,2,480
,山目一丁目,13,3,480
,配志和神社前,13,4,510
,竹山,13,5,510
,一関一高前,13,8,510
,大町角,13,9,550
,大町通り,13,10,550
,一関駅前,13,12,550
