出発地,バス停名,出発時,出発分,運賃
&#9733,前沢保育所前,12,32,
,母体口,12,33,170
,二十人町,12,34,170
,前沢新町,12,35,170
,七日町,12,35,170
,三日町,12,36,170
,丁切,12,38,230
,塔ヶ崎,12,39,280
,白鳥,12,40,280
,徳沢,12,42,340
,瀬原,12,44,350
,衣川橋,12,46,350
,中尊寺,12,48,360
,花舘,12,49,380
,鈴沢,12,50,380
,平泉駅前,12,52,390
,毛越寺,12,54,390
,祇園,12,56,420
,佐野,12,57,450
,川屋敷,12,58,450
,大佐,12,59,470
,中里新町,13,0,470
,沢田入口,13,1,470
,山目駅前,13,1,490
,中里市民センター前,13,2,490
,山目一丁目,13,3,490
,配志和神社前,13,4,520
,竹山,13,5,520
,一関一高前,13,8,520
,大町角,13,9,560
,大町通り,13,10,560
,一関駅前,13,12,560
