出発地,バス停名,出発時,出発分,運賃
&#9733,母体口,14,23,
,二十人町,14,24,170
,前沢新町,14,25,170
,七日町,14,25,170
,三日町,14,26,170
,丁切,14,28,220
,塔ヶ崎,14,29,270
,白鳥,14,30,270
,徳沢,14,32,340
,瀬原,14,34,350
,衣川橋,14,36,350
,中尊寺,14,38,350
,花舘,14,39,370
,鈴沢,14,40,370
,平泉駅前,14,42,380
,毛越寺,14,44,380
,祇園,14,46,410
,佐野,14,47,440
,川屋敷,14,48,440
,大佐,14,49,460
,中里新町,14,50,460
,沢田入口,14,51,460
,山目駅前,14,51,480
,中里市民センター前,14,52,480
,山目一丁目,14,53,480
,配志和神社前,14,54,510
,竹山,14,55,510
,一関一高前,14,58,510
,大町角,14,59,550
,大町通り,15,0,550
,一関駅前,15,2,550
