出発地,バス停名,出発時,出発分,運賃
&#9733,磐井橋,13,30,
,竹山,13,32,170
,配志和神社前,13,33,170
,山目一丁目,13,34,170
,中里市民センター前,13,35,170
,山目駅前,13,36,230
,沢田入口,13,36,230
,中里新町,13,37,230
,大佐,13,38,310
,川屋敷,13,39,310
,佐野,13,40,340
,祇園,13,41,340
,毛越寺,13,43,350
,平泉駅前,13,45,350
,鈴沢,13,47,350
,花舘,13,48,350
,中尊寺,13,49,350
,衣川橋,13,51,370
,瀬原,13,53,400
,徳沢,13,55,420
,白鳥,13,57,450
,塔ヶ崎,13,58,470
,丁切,13,59,470
,三日町,14,1,490
,七日町,14,2,490
,前沢新町,14,2,500
,二十人町,14,3,500
,母体口,14,4,510
,前沢保育所前,14,5,520
,イオン前沢,14,8,530
