出発地,バス停名,出発時,出発分,運賃
&#9733,前沢保育所前,17,22,
,母体口,17,23,170
,二十人町,17,24,170
,前沢新町,17,25,170
,七日町,17,25,170
,三日町,17,26,170
,丁切,17,28,230
,塔ヶ崎,17,29,280
,白鳥,17,30,280
,徳沢,17,32,340
,瀬原,17,34,350
,衣川橋,17,36,350
,中尊寺,17,38,360
,花舘,17,39,380
,鈴沢,17,40,380
,平泉駅前,17,42,390
,毛越寺,17,44,390
,祇園,17,46,420
,佐野,17,47,450
,川屋敷,17,48,450
,大佐,17,49,470
,中里新町,17,50,470
,沢田入口,17,51,470
,山目駅前,17,51,490
,中里市民センター前,17,52,490
,山目一丁目,17,53,490
,配志和神社前,17,54,520
,竹山,17,55,520
,一関一高前,17,58,520
,大町角,17,59,560
,大町通り,18,0,560
,一関駅前,18,2,560
