出発地,バス停名,出発時,出発分,運賃
&#9733,二十人町,12,34,
,前沢新町,12,35,170
,七日町,12,35,170
,三日町,12,36,170
,丁切,12,38,180
,塔ヶ崎,12,39,250
,白鳥,12,40,250
,徳沢,12,42,330
,瀬原,12,44,340
,衣川橋,12,46,350
,中尊寺,12,48,350
,花舘,12,49,360
,鈴沢,12,50,360
,平泉駅前,12,52,370
,毛越寺,12,54,370
,祇園,12,56,400
,佐野,12,57,430
,川屋敷,12,58,430
,大佐,12,59,450
,中里新町,13,0,450
,沢田入口,13,1,450
,山目駅前,13,1,470
,中里市民センター前,13,2,470
,山目一丁目,13,3,470
,配志和神社前,13,4,500
,竹山,13,5,500
,一関一高前,13,8,500
,大町角,13,9,540
,大町通り,13,10,540
,一関駅前,13,12,540
